🔒 SKU Row ID,Product Code,Product Name,Zonal/Added to Zonal,Unit,Cost,Supplier ID,Active/Active,Sorting/Pin,History/Created Timestamp,History/Created by User,Import/DatafromCSV ID,Par API/SKU Added to Par Helper,Mask API/Added to SKU Mask,Ownership/Org ID,Flag/Flag,Flag/Flag Message,History/Last updated,History/Last updated by,Delete,Set/Auto-Quantity Weekday,Notes/SKU Global Note
390V.lS3RwK3wTRbn26hCQ,42567,Cracked Black Pepper,true,425g,6.25,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,IedkMDfVSy24r6RaH9d6Iw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
TN3Da20uRTOnvkZ02SDnKw,3272,Ice Cubes,true,6 x 2kg,5.5,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,YWChyohvRLWeSRrYk6oC2Q,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
B1P05BW3QNSxfDDYMFbyng,33416,Vegan Sweet Potato Falafel,true,3 x 30 x 22g,19.45,JKGzpLFSRxCfAxNLKmy33A,false,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,o5ZkCcDCQNaoTPCfwchAIg,true,true,wuqj75edR0670x.mQmMz0A,false,not used at Mountsorrel?,,,,,
PgTm-rfySV6ak2OilZ6-qg,15268,Strong White Bread Flour,true,16kg,15.99,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,Xmj0UUPfRC6DahZbFjI-ZA,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
6aZUuEKBQHS.Klzo1Wc35w,6051,Sticky Maple Pecan Pie - Sliced,true,1 x 16,27.95,AjTs2rKDRt2drnhqSUkbng,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,nvI.CVW6SmyE-PzPFbAQ2w,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
qb93QEGFS7aOlhgJotYlxQ,83254,Table Salt,true,6kg,6.77,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,g4vuxCgzRu2T3dOrrOpGCQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
U368R1q8R3qXzNUSztkPPg,N/A,Jeeves & Jericho Mojito Mint Tea,true,1 x 100,21.5,w6AhNWWTQsiz3TYH.act5Q,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,A0jSQeMRQYafLv8ZtIueZw,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
9hgNQIDQQjag-oGlTRTWaQ,15301,Extra Large Gherkins,true,2.1kg,5.43,JKGzpLFSRxCfAxNLKmy33A,false,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,vfFeMkbvQ1WKnCMOJGRr.g,true,true,wuqj75edR0670x.mQmMz0A,true,No longer on menu,,,,,
RS2QO1OWTU-yr34QlBJsAg,64399,Heinz Tomato Soup,true,24 x 400g,40.8,JKGzpLFSRxCfAxNLKmy33A,false,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,ocmzM2woSUybRyurYir3ew,true,true,wuqj75edR0670x.mQmMz0A,true,No longer on menu,,,,,
X80v3uVjSueS9.ynCg4GbQ,64651,Gluten Free Bread,true,1 x 6,29,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,KsGLxPDkRyWwboI6Dkodog,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
NCFhETcFT9atVnoglJY-qg,56182,Chopped Garlic,true,1.2kg,7.69,JKGzpLFSRxCfAxNLKmy33A,true,,"05/02/2025, 9:36:14",LkDqWOiPRS-D6iEdWCD9IA,KRuoGeclQVmjJe5fG5HHpQ,true,true,wuqj75edR0670x.mQmMz0A,,,,,,,
