🔒 Row ID,SKU ID,LOC ID,SUPPLIER ID,CSV ID,Owner ID,Site Mask/Active,Site Mask/Pinned,Site Mask/Weekday Set QTY,Site Mask/Weekend Set QTY,Site Mask/Weekday Par QTY,Site Mask/Weekend Par QTY,SKU Lookup/Product Description READ,SKU Lookup/Product Code READ,SKU Lookup/Unit READ,SKU Lookup/Cost READ,History/Created,History/Last PD Update
qV0SCFMyRA6rimU-HvTYtw,9hgNQIDQQjag-oGlTRTWaQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,vfFeMkbvQ1WKnCMOJGRr.g,wuqj75edR0670x.mQmMz0A,,,,,2,,Extra Large Gherkins,15301,2.1kg,5.43,,
ZgIy4X1XTsWJYahcrG1qZA,RS2QO1OWTU-yr34QlBJsAg,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,ocmzM2woSUybRyurYir3ew,wuqj75edR0670x.mQmMz0A,,,,,2,,Heinz Tomato Soup,64399,24 x 400g,40.8,,
1buW30IzTJanb.Yu.fmJng,X80v3uVjSueS9.ynCg4GbQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,KsGLxPDkRyWwboI6Dkodog,wuqj75edR0670x.mQmMz0A,true,,,,2,,Gluten Free Bread,64651,1 x 6,29,,
hxGLH5NUTdKcRExC2UR9.g,NCFhETcFT9atVnoglJY-qg,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,KRuoGeclQVmjJe5fG5HHpQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Chopped Garlic,56182,1.2kg,7.69,,
9MJrwCOKTySptUPPd4VCEw,ohUE0PUlQN67ElqBLo0TqQ,QG-A.oJrSF2AmUnmgpDNUg,AjTs2rKDRt2drnhqSUkbng,Gxxr4WZzTQq4Xp8sY4v06A,wuqj75edR0670x.mQmMz0A,true,,,,2,,Banana & Chocolate Loaf Pre-Sliced,5058,1 x 14,19.65,,
PyKqbQh4S8e-XdEMkZb4Rw,quJUJOzeRE6dGGr9rjgq2w,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,H.cPlqb8STWeDQz2qJrJcA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Vegan Raspberry Croissants,40893,44 x 90g,27.05,,
GlrwEQT7TL2EPmolghU15A,I7EGprj3QzCYYciUYkYLnw,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,pRTqIXLnSlaJj7NETsCL6w,wuqj75edR0670x.mQmMz0A,,,,,2,,Cooked pork Cocktail Sausages ,87465,1kg,6.25,,
i.DrmtBsQdiAeKzJrdxzTA,rLSFX63wSxqb9BZDqLabwg,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,TFr92e2OTdSzQQgxmTJaKg,wuqj75edR0670x.mQmMz0A,true,,,,2,,Mini Marmalade Jars,5397,72 x 28g,22.5,,
piH8GqqhS0Sn1f02aSCaBw,ZQYtUwOzT5C1YMGaWciCeA,QG-A.oJrSF2AmUnmgpDNUg,w6AhNWWTQsiz3TYH.act5Q,ov4EOlVBTGGzgBAqQhqClg,wuqj75edR0670x.mQmMz0A,true,,,,2,,Jeeves & Jericho Camomile & Lavender Tea,N/A,1 x 100,21.5,,
Z8nzbWxwQf2htKvE4QLR3g,MuTj4TP3RRC3lVxOFZpDPQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,mZBhKmhkRuCDOgzEOxfRlQ,wuqj75edR0670x.mQmMz0A,true,,,,2,,Frozen Raspberries,65409,1kg,8.4,,
QVaFwhlgSqiGMj13-3U9OQ,QP3YTrHFRui-USs3lvLNyQ,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,vn5k.AioRsOFxdpCeJmrPw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Blueberry Compote,69342,1.25kg,17.5,,
qcZ612MeQZGTOqXtIehr5Q,WSJ-rKNdR9KtuUn9fiqvLw,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,drbuyMy9RteJfoQKTzo3OA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Ground Almonds,9630,1kg,8.99,,
WkCwgdCFQNycRJ8pFN-WEg,FJ2c4ma1Rza8P-EO2gGXmw,QG-A.oJrSF2AmUnmgpDNUg,w6AhNWWTQsiz3TYH.act5Q,C3Y70kGPQBqGw0oIdqZyzA,wuqj75edR0670x.mQmMz0A,true,,,,2,,Zuma Original Hot Chocolate Powder,N/A,1 x 2kg,16.99,,
lFaMfgVeRnyVkOTnfRKbjw,tfIfSTaMRNm.NjVa3TJlUw,QG-A.oJrSF2AmUnmgpDNUg,JKGzpLFSRxCfAxNLKmy33A,a-BKzXQQ3Rcqj-dnDZ9ViMw,wuqj75edR0670x.mQmMz0A,true,,,,2,,Cocoa Powder,24720,1kg,17.46,,
